code,code_20km,massif_ha,part_loin_voie,part_loin_piste,part_loin_eau,part_resineux,pistes_km,densite_pistes_m_ha,points_eau,brule_2022_ha,dnbr_moyen,obligations_old,obligations_prioritaires,constructions,indice_vigilance
DE84A6,DE84,321.4,0.0,1.0,0.773,0.278,0.0,0.0,1,0.0,,91,16,165,37.0
DE84A7,DE84,272.0,0.0,1.0,0.139,0.369,0.0,0.0,4,0.0,,748,32,1119,33.0
DE84A8,DE84,333.7,0.0,1.0,0.586,0.338,0.0,0.0,1,0.0,,157,15,245,39.0
DE84A9,DE84,395.4,0.0,1.0,1.0,0.427,0.0,0.0,0,0.0,,3,3,9,36.0
DE86A0,DE86,375.4,0.0,1.0,0.633,0.696,0.0,0.0,1,0.0,,0,0,137,42.0
DE86A1,DE86,359.2,0.0,1.0,0.878,0.687,0.0,0.0,0,0.0,,0,0,52,43.0
DE86A2,DE86,229.5,0.0,1.0,1.0,0.319,0.0,0.0,0,0.0,,0,0,17,34.0
DE82B7,DE82,379.4,0.0,1.0,1.0,0.65,0.0,0.0,0,0.0,,0,0,93,47.0
DE82B8,DE82,396.1,0.0,1.0,1.0,0.747,0.0,0.0,0,0.0,,0,0,7,44.0
DE82B9,DE82,392.6,0.0,1.0,1.0,0.654,0.0,0.0,0,0.0,,0,0,33,44.0
DE84B0,DE84,394.2,0.0,1.0,1.0,0.77,0.0,0.0,0,0.0,,0,0,26,46.0
DE84B1,DE84,357.1,0.0,1.0,1.0,0.6,0.0,0.0,0,0.0,,0,0,241,56.0
DE84B2,DE84,336.0,0.0,1.0,1.0,0.285,0.0,0.0,0,0.0,,4,2,164,43.0
DE84B3,DE84,378.9,0.0,1.0,1.0,0.527,0.0,0.0,0,0.0,,0,0,108,45.0
DE84B4,DE84,380.6,0.0,1.0,1.0,0.423,0.0,0.0,0,0.0,,0,0,109,43.0
DE84B5,DE84,309.0,0.0,1.0,1.0,0.328,0.0,0.0,0,0.0,,237,35,386,53.0
DE84B6,DE84,146.7,0.0,1.0,0.96,0.008,0.0,0.0,0,0.0,,144,32,309,44.0
DE84B7,DE84,308.1,0.0,1.0,0.21,0.016,0.0,0.0,1,0.0,,174,18,300,26.0
DE84B8,DE84,134.4,0.0,1.0,1.0,0.074,0.0,0.0,0,0.0,,123,7,252,44.0
DE84B9,DE84,300.9,0.0,1.0,1.0,0.24,0.0,0.0,0,0.0,,0,0,51,34.0
DE86B0,DE86,376.0,0.0,1.0,0.998,0.477,0.0,0.0,0,0.0,,0,0,1,37.0
DE86B1,DE86,352.2,0.0,1.0,1.0,0.467,0.0,0.0,0,0.0,,0,0,16,38.0
DE86B2,DE86,387.6,0.023,1.0,1.0,0.206,0.0,0.0,0,0.0,,0,0,0,31.0
DE82C7,DE82,347.8,0.0,1.0,1.0,0.601,0.0,0.0,0,0.0,,0,0,174,52.0
DE82C8,DE82,286.5,0.0,1.0,1.0,0.669,0.0,0.0,0,0.0,,0,0,654,62.0
DE82C9,DE82,356.6,0.0,1.0,1.0,0.429,0.0,0.0,0,0.0,,0,0,79,41.0
DE84C0,DE84,371.6,0.0,1.0,1.0,0.435,0.0,0.0,0,0.0,,0,0,39,38.0
DE84C1,DE84,286.3,0.0,1.0,1.0,0.315,0.0,0.0,0,0.0,,0,0,837,53.0
DE84C2,DE84,189.6,0.0,1.0,0.984,0.292,0.0,0.0,0,0.0,,0,0,561,52.0
DE84C3,DE84,212.5,0.0,1.0,0.382,0.106,0.0,0.0,1,0.0,,0,0,678,32.0
DE84C4,DE84,265.2,0.0,1.0,1.0,0.068,0.0,0.0,0,0.0,,0,0,399,47.0
DE84C5,DE84,262.2,0.0,1.0,1.0,0.086,0.0,0.0,0,0.0,,11,7,175,39.0
DE84C6,DE84,258.8,0.0,1.0,0.924,0.055,0.0,0.0,0,0.0,,90,32,378,44.0
DE84C7,DE84,327.3,0.0,1.0,0.462,0.077,0.0,0.0,1,0.0,,27,16,415,33.0
DE84C8,DE84,365.8,0.0,1.0,1.0,0.247,0.0,0.0,0,0.0,,0,0,149,41.0
DE84C9,DE84,167.9,0.0,1.0,1.0,0.228,0.0,0.0,0,0.0,,0,0,780,51.0
DE86C0,DE86,333.3,0.0,1.0,0.374,0.395,0.0,0.0,2,0.0,,0,0,245,36.0
DE86C1,DE86,155.4,0.0,1.0,0.839,0.001,0.0,0.0,0,0.0,,0,0,93,27.0
DE86C2,DE86,106.9,0.0,1.0,1.0,0.033,0.0,0.0,0,0.0,,0,0,420,46.0
DE82D7,DE82,269.7,0.523,1.0,1.0,0.312,0.0,0.0,0,0.0,,0,0,19,50.0
DE82D8,DE82,268.0,0.421,1.0,1.0,0.381,0.0,0.0,0,0.0,,0,0,82,53.0
DE82D9,DE82,197.5,0.112,1.0,1.0,0.474,0.0,0.0,0,0.0,,0,0,18,41.0
DE84D0,DE84,334.6,0.341,1.0,1.0,0.51,0.0,0.0,0,0.0,,0,0,4,48.0
DE84D1,DE84,277.4,0.416,1.0,1.0,0.079,0.0,0.0,0,0.0,,0,0,51,43.0
